,user_id,item_id,rating,user_rating_cnt,item_rating_cnt
372,wKgcC10NxT5GIl8GBpSTAg==,64949,1,5,511
378,wKgcC10QSsCSyQ9VAyq0Ag==,9364,1,3,97
390,wKgcC10XSiFdjH6lDWRHAg==,63217,1,3,20878
396,wKgcC11P8glb0C2LCceVAg==,16986,1,3,570
400,wKgcC11P8glb0C2LCceVAg==,16985,1,3,253
409,wKgcC11P8glb0C2LCceVAg==,43406,1,3,337
424,wKgcC10vAvusLxS3A9iZAg==,64898,1,3,9036
425,wKgcC10ayXdS/XmFA4WHAg==,63217,1,3,20878
428,wKgcC10wA6w1dF5SBfHWAg==,64898,1,4,9036
436,wKgcC11XHfC8CxVFEqBGAg==,64025,-1,3,3352
461,wKgcC11aRPRjBGG2BPOnAg==,63178,1,3,11363
490,wKgcC10ZmNuMEyqyBZJXAg==,61519,-1,3,1114
492,wKgcC11heElrqjglBmwXAg==,63955,1,4,534
493,wKgcC11heElrqjglBmwXAg==,64025,1,4,3352
496,wKgcC109jH4o9AHhA9euAg==,64649,1,4,51968
500,wKgcC10ayXdS/XmFA4WHAg==,60735,-1,3,11177
501,wKgcC112pq5g2UGxEZGyAg==,61164,1,3,894
523,wKgcC115KfcCcV4EETbTAg==,60583,1,6,2036
598,wKgcC1+QdydJ0X/NDzDLAg==,59194,1,8,167
605,wKgcC1+QdydJ0X/NDzDLAg==,61453,1,8,848
608,wKgcC10FWNZ3Ih89EoDbAg==,62954,1,6,165
612,wKgcC10FWNZ3Ih89EoDbAg==,63433,1,6,383
613,wKgcC10FWNZ3Ih89EoDbAg==,63461,1,6,134
662,wKgcC10nB3yNqyC/CrAMAg==,23429,-1,3,45
684,wKgcC112pq5g2UGxEZGyAg==,64898,1,3,9036
686,wKgcC10JWQ+NTn91BbZAAg==,28096,1,20,4
687,wKgcC10JWQ+NTn91BbZAAg==,29600,1,20,37
688,wKgcC10JWQ+NTn91BbZAAg==,29063,1,20,8
691,wKgcC10pWwZzcDXcBGZoAg==,9808,-1,14,298
692,wKgcC10pWwZzcDXcBGZoAg==,46764,-1,14,286
693,wKgcC10pWwZzcDXcBGZoAg==,58813,1,14,357
694,wKgcC10pWwZzcDXcBGZoAg==,62131,1,14,585
695,wKgcC10pWwZzcDXcBGZoAg==,62394,-1,14,667
696,wKgcC10pWwZzcDXcBGZoAg==,58813,-1,14,357
699,wKgcC10pWwZzcDXcBGZoAg==,9816,-1,14,133
701,wKgcC10qGlpn+TXaDWtEAg==,64097,-1,4,486
705,wKgcC1+YWPMfE2zzMnHZAg==,65165,1,3,2173
718,wKgcC2B1Adix0m1fAx1WAg==,63424,1,3,1961
721,wKgcC10KWipvYHE+BYmNAg==,57287,-1,3,325
742,wKgcC13cEvee2XJWDwhFAg==,63136,-1,3,2052
759,wKgcC12WSGwvgHHGEReaAg==,65050,1,3,1013
777,wKgcC10zpUq+ag2MGoiRAg==,10200,1,45,12
779,wKgcC10zpUq+ag2MGoiRAg==,9617,1,45,4
780,wKgcC10zpUq+ag2MGoiRAg==,47026,1,45,10
781,wKgcC13tA0hdVE7cCUymAg==,3929,1,7,493
787,wKgcC10OjJU+BV8FFvR4Ag==,61164,1,6,894
791,wKgcC13wCMWsShw7CXWMAg==,62066,1,3,13086
792,wKgcC1+e/5NEZzLTHX3rAg==,65165,-1,3,2173
800,wKgcC11uqjubAjPMFyunAg==,64188,1,4,4087
817,wKgcC12hzji1h1mmD+LbAg==,60385,1,7,51
829,wKgcC12+iBxndAvzBapcAg==,64898,-1,3,9036
830,wKgcC12l+ruAXFOgBXVdAg==,59619,1,4,439
831,wKgcC12l+ruAXFOgBXVdAg==,61247,1,4,497
832,wKgcC12l+ruAXFOgBXVdAg==,62394,1,4,667
847,wKgcC10RpRs4f0aNBUDnAg==,17487,-1,3,136
857,wKgcC11VbeS/xiM0BA+GAg==,13366,1,3,1905
859,wKgcC10OWGMuO18DDI0GAg==,49483,1,3,766
877,wKgcC10TdKjCCRFcD9nRAg==,64649,1,4,51968
878,wKgcC1+kZGAsDwZmIpJQAg==,62278,-1,3,639
879,wKgcC1+kZGAsDwZmIpJQAg==,62278,1,3,639
896,wKgcC115HmcCcV4EEC7jAg==,60159,1,5,55
902,wKgcC10PlhKbrDeqBv7qAg==,62122,1,7,1810
906,wKgcC10PlhKbrDeqBv7qAg==,63178,1,7,11363
907,wKgcC10PlhKbrDeqBv7qAg==,62445,1,7,11979
914,wKgcC1+mecUqQUsXEx7/Ag==,60776,1,4,109
941,wKgcC116nq4bC3VIBrR5Ag==,58815,1,3,282
965,wKgcC12Ux/c+SVjpA3cBAg==,64992,1,3,13745
972,wKgcC11imWqT1X5iDvVEAg==,64750,1,8,1168
973,wKgcC11imWqT1X5iDvVEAg==,64847,1,8,286
1005,wKgcC10ZkGd9PCqwBA2RAg==,64649,-1,4,51968
1024,wKgcC11FF+aVGytuBDtGAg==,64750,1,3,1168
1025,wKgcC11nnTBTdXpSCcG3Ag==,63217,1,3,20878
1030,wKgcC14e+7ORrA8yCy2vAg==,63973,1,3,687
1042,wKgcC11Fw5FbfCtnBDXAAg==,46224,1,4,27
1089,wKgcC11r04Y4pC4oECEfAg==,59090,-1,4,568
1092,wKgcC14nATUsHyxwFqa0Ag==,63973,1,3,687
1102,wKgcC1+xXb8R30llBN+NAg==,65295,1,3,1652
1105,wKgcC10e41NPVUBRBjs+Ag==,63621,1,3,196
1108,wKgcC11QKR4yXS2GBTkqAg==,58620,1,6,472
1109,wKgcC11QKR4yXS2GBTkqAg==,58818,1,6,148
1120,wKgcC14r52R7qm/PCnmuAg==,63830,-1,3,7458
1139,wKgcC12sh7t7qmY6ChNjAg==,40747,1,3,98
1141,wKgcC12sh7t7qmY6ChNjAg==,48284,1,3,85
1142,wKgcC12sh7t7qmY6ChNjAg==,59695,1,3,72
1143,wKgcC12sk8UEdmYkAzliAg==,10146,1,4,96
1145,wKgcC12biae1yAG6DrnZAg==,62445,1,3,11979
1147,wKgcC12bwWqcrgG3D7QOAg==,64898,1,3,9036
1190,wKgcC11Q/Yl2wXjABSR6Ag==,64749,-1,3,907
1193,wKgcC13YI/EBaXRUFy7hAg==,64025,-1,3,3352
1199,wKgcC11Qp/U6gS2HCDXuAg==,61836,-1,5,2902
1275,wKgcC11VgziVz3ErAwsrAg==,8544,-1,7,93
1276,wKgcC11VgziVz3ErAwsrAg==,58696,1,7,82
1277,wKgcC11VgziVz3ErAwsrAg==,58086,-1,7,36
1278,wKgcC11VgziVz3ErAwsrAg==,58894,-1,7,101
1279,wKgcC139UzWZckmOEn1fAg==,64992,1,3,13745
1299,wKgcC129yc669G5JB/sSAg==,63217,1,3,20878
1304,wKgcC12x/t14XwExBSLLAg==,64799,1,7,173
1313,wKgcC10iTKjAjWILCAFsAg==,60533,-1,3,736
1316,wKgcC2CDGX6XqjHUFYuXAg==,44302,-1,4,94
1329,wKgcC13+uLZHvHYREqlyAg==,9901,1,8,99
1342,wKgcC130ukh5dSpPDUHjAg==,17086,1,11,259
1344,wKgcC130ukh5dSpPDUHjAg==,59718,1,11,364
1354,wKgcC10kcpAYCQamCeO5Ag==,63178,-1,3,11363
1391,wKgcC2CDaZSNxDHOGl7iAg==,61992,1,7,75
1392,wKgcC2CDaZSNxDHOGl7iAg==,63120,1,7,324
1431,wKgcC11tVvYqKxYFDDTXAg==,65058,1,3,4675
1433,wKgcC11iNYyT1X5iBvA8Ag==,63721,1,3,87
1435,wKgcC15jrGwiLTZHFMe6Ag==,62238,1,3,1469
1444,wKgcC10pWwZzcDXcBGZoAg==,59619,-1,14,439
1448,wKgcC11jPHib0n5jHNEBAg==,64335,-1,3,422
1449,wKgcC11uqjubAjPMFyunAg==,61164,1,4,894
1465,wKgcC10vAvusLxS3A9iZAg==,64658,1,3,453
1479,wKgcC11xratFaDBmHF/pAg==,64992,1,3,13745
1480,wKgcC11xratFaDBmHF/pAg==,65043,1,3,2478
1483,wKgcC11xratFaDBmHF/pAg==,42388,1,3,1722
1511,wKgcC13eTras8le9DBj/Ag==,65199,-1,4,5024
1512,wKgcC13eTras8le9DBj/Ag==,65199,1,4,5024
1514,wKgcC13JAsm1HGvMBfKSAg==,64898,1,4,9036
1523,wKgcC1+oNWeD+zixF0oiAg==,65298,-1,4,962
1549,wKgcC13hFI9B2jUeBnYEAg==,65199,1,13,5024
1554,wKgcC14B7tRP9VLmEB1EAg==,13365,-1,4,2113
1555,wKgcC14B7tRP9VLmEB1EAg==,13365,1,4,2113
1587,wKgcC12XiSs8c0tEFuQJAg==,40745,1,4,1221
1594,wKgcC11qmMnBGG8lEZm0Ag==,64798,1,7,2929
1635,wKgcC10zpUq+ag2MGoiRAg==,59973,1,45,24
1637,wKgcC10zpUq+ag2MGoiRAg==,63215,1,45,31
1639,wKgcC10zpUq+ag2MGoiRAg==,4880,1,45,5
1640,wKgcC10zpUq+ag2MGoiRAg==,58729,1,45,12
1641,wKgcC10zpUq+ag2MGoiRAg==,10264,1,45,26
1643,wKgcC10zpUq+ag2MGoiRAg==,63043,1,45,24
1682,wKgcC1/SU48VXVTcCGCtAg==,65199,1,7,5024
1685,wKgcC1/SU48VXVTcCGCtAg==,64777,1,7,203
1697,wKgcC14GfA0dLHwVEHb0Ag==,20920,1,9,2594
1698,wKgcC14GfA0dLHwVEHb0Ag==,23445,1,9,147
1705,wKgcC106FcADZR+WCt01Ag==,61901,1,10,126
1722,wKgcC11uIsWbAjPMCccUAg==,58339,1,3,327
1738,wKgcC102sKm6jnn1BdIoAg==,64025,-1,3,3352
1739,wKgcC10EdCt3Ih89BCZZAg==,63726,1,3,2480
1797,wKgcC13wCMWsShw7CXWMAg==,63401,1,3,7096
1805,wKgcC10oEs9iUGcIBZA8Ag==,47803,-1,7,670
1810,wKgcC13xTfNKlSXyCi6jAg==,65199,1,3,5024
1815,wKgcC13ZDKoc4h6pDUh5Ag==,3929,1,34,493
1825,wKgcC13ZSimsvx6iBfqSAg==,60583,1,3,2036
1835,wKgcC10TdKjCCRFcD9nRAg==,60735,1,4,11177
1838,wKgcC10NxT5GIl8GBpSTAg==,18746,1,5,180
1846,wKgcC2CET35dwWRXBk9vAg==,64898,1,4,9036
1871,wKgcC1275DwvikkPCN3xAg==,62278,-1,6,639
1877,wKgcC164tEZVvVJiJdEXAg==,62066,1,3,13086
1886,wKgcC127V8hGAxnzCeGDAg==,60735,1,4,11177
1891,wKgcC127whIfD0kMBEb1Ag==,64992,1,4,13745
1892,wKgcC127whIfD0kMBEb1Ag==,65058,1,4,4675
1893,wKgcC127whIfD0kMBEb1Ag==,60735,1,4,11177
1903,wKgcC14LrXxq7RbGCqeRAg==,58182,1,3,153
1912,wKgcC11xRGlFaDBmFRnIAg==,63256,-1,4,8277
1921,wKgcC111Jpmvl34YE9dIAg==,61122,1,3,452
1931,wKgcC166YdmZNFXeB5RhAg==,22965,1,3,9304
1958,wKgcC1/WAp0CEEvAA/IIAg==,64898,1,4,9036
1959,wKgcC1/WAp0CEEvAA/IIAg==,64187,1,4,3412
1960,wKgcC1/WAp0CEEvAA/IIAg==,64187,-1,4,3412
1961,wKgcC10WdDIRRCyQGLCrAg==,62385,1,4,6809
1962,wKgcC10WdDIRRCyQGLCrAg==,62385,-1,4,6809
1967,wKgcC145FoIxK2ycBEk6Ag==,62066,-1,4,13086
1968,wKgcC145FoIxK2ycBEk6Ag==,63401,-1,4,7096
1970,wKgcC145FoIxK2ycBEk6Ag==,63401,1,4,7096
1982,wKgcC12oBiBD6nxDBtoVAg==,14286,1,3,331
1987,wKgcC12oBiBD6nxDBtoVAg==,14286,-1,3,331
1996,wKgcC10bgh8q4nmAByQAAg==,63401,1,3,7096
2006,wKgcC10zpUq+ag2MGoiRAg==,63780,1,45,4
2007,wKgcC10zpUq+ag2MGoiRAg==,64110,1,45,3
2008,wKgcC10zpUq+ag2MGoiRAg==,63521,1,45,3
2011,wKgcC10ZkGd9PCqwBA2RAg==,60751,-1,4,1144
2025,wKgcC16PVOUJlyD4GssKAg==,65298,1,3,962
2026,wKgcC10h8CAevWIQDjnrAg==,60558,1,6,301
2029,wKgcC10e41NPVUBRBjs+Ag==,64896,-1,3,502
2043,wKgcC10JWQ+NTn91BbZAAg==,30911,1,20,9
2045,wKgcC10JWQ+NTn91BbZAAg==,30853,1,20,3
2060,wKgcC10q5seQwwyzCJNMAg==,61856,1,3,113
2094,wKgcC10JWQ+NTn91BbZAAg==,22885,1,20,30
2112,wKgcC115HmcCcV4EEC7jAg==,63260,-1,5,470
2113,wKgcC115HmcCcV4EEC7jAg==,41028,-1,5,256
2145,wKgcC17hMWWFXhEpBJgyAg==,65298,1,3,962
2146,wKgcC111Jpmvl34YE9dIAg==,59597,-1,3,762
2151,wKgcC112pq5g2UGxEZGyAg==,61164,-1,3,894
2161,wKgcC115KfcCcV4EETbTAg==,64849,1,6,2539
2179,wKgcC12IU9YSb1xoAyqnAg==,61432,-1,3,89
2184,wKgcC13tA0hdVE7cCUymAg==,63256,1,7,8277
2185,wKgcC13tA0hdVE7cCUymAg==,64750,1,7,1168
2186,wKgcC13tDSRW8U7bB+9EAg==,58965,1,5,284
2199,wKgcC11EY5aaLmvZE2LwAg==,40745,1,4,1221
2211,wKgcC11Fw5FbfCtnBDXAAg==,64165,1,4,1781
2218,wKgcC13vGxVgK3hZBAlxAg==,62279,1,3,204
2222,wKgcC10bgh8q4nmAByQAAg==,62066,1,3,13086
2256,wKgcC14Z0C2PyUyrFRKZAg==,15807,-1,4,1065
2270,wKgcC111K6xgnn4GBDpHAg==,61319,1,5,447
2271,wKgcC111K6xgnn4GBDpHAg==,59162,-1,5,175
2272,wKgcC111K6xgnn4GBDpHAg==,58620,1,5,472
2273,wKgcC12MRoFuIgJKBQVuAg==,65043,-1,6,2478
2278,wKgcC16FAq1A9BTEBLqCAg==,61519,1,5,1114
2292,wKgcC10WdDIRRCyQGLCrAg==,63830,1,4,7458
2310,wKgcC10kVD0RzgalBnfSAg==,61519,1,5,1114
2313,wKgcC11PTCKvsF8YCbdpAg==,23274,1,6,79
2314,wKgcC11Q9Qd+63jBBTl3Ag==,60735,-1,3,11177
2316,wKgcC11Q9Qd+63jBBTl3Ag==,60735,1,3,11177
2369,wKgcC11VbeS/xiM0BA+GAg==,13365,1,3,2113
2435,wKgcC14V2dfAHmJrBDBRAg==,65285,1,3,812
2457,wKgcC11imWqT1X5iDvVEAg==,64749,1,8,907
2459,wKgcC12QeNY5CTk3ClncAg==,64992,1,4,13745
2467,wKgcC114kymeI13/A6MNAg==,62449,1,5,194
2501,wKgcC14dZcqoFAmCBqJwAg==,9677,1,5,279
2553,wKgcC11uqjubAjPMFyunAg==,61164,-1,4,894
2586,wKgcC2CG/IJMvlarFBJuAg==,64992,1,5,13745
2595,wKgcC12WSGwvgHHGEReaAg==,64992,1,3,13745
2606,wKgcC13+uLZHvHYREqlyAg==,64849,1,8,2539
2630,wKgcC11jy3koAyb1BnYhAg==,62570,1,3,983
2631,wKgcC11jy3koAyb1BnYhAg==,65058,1,3,4675
2632,wKgcC116DGQHxykiCjaJAg==,63099,-1,4,558
2645,wKgcC11aRPRjBGG2BPOnAg==,64867,1,3,217
2687,wKgcC12Z7SitLDl0BZ+IAg==,60735,1,3,11177
2688,wKgcC10tdc0oZTEHBfMGAg==,43889,1,9,212
2693,wKgcC14klbiNxCMGBuKrAg==,3927,-1,6,701
2790,wKgcC11EnwtpDGvLBsURAg==,62445,-1,4,11979
2798,wKgcC1185CWy0C0YBA8QAg==,62445,-1,5,11979
2803,wKgcC111Jpmvl34YE9dIAg==,58965,1,3,284
2804,wKgcC111K6xgnn4GBDpHAg==,62742,1,5,56
2808,wKgcCl4rDHyYoRiUHAoaAg==,64649,-1,3,51968
2810,wKgcC11nYt5esXpUBfy8Ag==,62385,1,3,6809
2811,wKgcC11nnTBTdXpSCcG3Ag==,62385,1,3,6809
2831,wKgcC14jBN0CGBCODQQ4Ag==,59174,1,6,346
2837,wKgcC11n2i4MA21IBC2jAg==,62181,-1,3,208
2838,wKgcC11r04Y4pC4oECEfAg==,59814,1,4,368
2884,wKgcC11Qp/U6gS2HCDXuAg==,64798,-1,5,2929
2891,wKgcC2CH+hE/yFJhA+LqAg==,63424,1,4,1961
2892,wKgcC2CH+hE/yFJhA+LqAg==,64898,1,4,9036
2896,wKgcC16fE9UQPGAeCnGyAg==,61251,1,3,156
2916,wKgcC12IU9YSb1xoAyqnAg==,61231,-1,3,323
2925,wKgcC12LaCApqnN/BRx6Ag==,60832,1,8,110
2933,wKgcC124BVwWnzaCC55SAg==,64798,1,3,2929
2935,wKgcC127V8hGAxnzCeGDAg==,60724,1,4,1678
2959,wKgcC12XiSs8c0tEFuQJAg==,16467,1,4,80
3001,wKgcC113YCFZRBGKB6Z6Ag==,61035,1,3,490
3010,wKgcC1/bFthFtFckBgquAg==,65165,1,3,2173
3031,wKgcC14sbRdTSG+7C6H7Ag==,65199,1,4,5024
3074,wKgcC11Bj4yQq2NhDXYJAg==,64505,1,3,279
3079,wKgcC1+ESmSoH29iJSaAAg==,59022,-1,3,9961
3083,wKgcC2AyWL+q0GTFD3PzAg==,65294,1,5,3276
3103,wKgcC12biae1yAG6DrnZAg==,62585,1,3,2653
3104,wKgcC12bwWqcrgG3D7QOAg==,64420,1,3,582
3108,wKgcC12MRoFuIgJKBQVuAg==,62385,-1,6,6809
3112,wKgcC14wWQhc2023AzlbAg==,64949,1,5,511
3113,wKgcC14wWQhc2023AzlbAg==,58621,1,5,150
3117,wKgcC115HmcCcV4EEC7jAg==,64097,-1,5,486
3124,wKgcC14yVF+8MhfDBNVzAg==,63830,-1,3,7458
3170,wKgcC16oPR+LCj4lBODTAg==,9810,1,3,113
3175,wKgcC12QeNY5CTk3ClncAg==,60735,1,4,11177
3180,wKgcC12Pt7ODLmzAEzcEAg==,64165,-1,3,1781
3185,wKgcC12x/t14XwExBSLLAg==,64798,1,7,2929
3212,wKgcC1505nEhEXhaB5WZAg==,65286,1,4,112
3213,wKgcC11EnwtpDGvLBsURAg==,57573,-1,4,127
3229,wKgcC10OWGMuO18DDI0GAg==,58683,1,3,577
3270,wKgcC151GY9JG3h+GcI/Ag==,61836,1,3,2902
3272,wKgcC151GY9JG3h+GcI/Ag==,64188,-1,3,4087
3282,wKgcC12qEHM4lR/MCWH9Ag==,60735,1,6,11177
3285,wKgcC12t4iSxXAU3CM11Ag==,57504,1,3,439
3291,wKgcC11Nw5wfrnyZCBIxAg==,64649,-1,3,51968
3313,wKgcC12r+oubb2Y+Bx8RAg==,16986,-1,3,570
3315,wKgcC12r+oubb2Y+Bx8RAg==,16985,-1,3,253
3317,wKgcC1185CWy0C0YBA8QAg==,23425,1,5,941
3318,wKgcC11Fw5FbfCtnBDXAAg==,63178,1,4,11363
3323,wKgcC10PlhKbrDeqBv7qAg==,62122,-1,7,1810
3365,wKgcC12qEHM4lR/MCWH9Ag==,44923,1,6,1839
3367,wKgcC12qEHM4lR/MCWH9Ag==,62385,1,6,6809
3416,wKgcC127V8hGAxnzCeGDAg==,62066,-1,4,13086
3419,wKgcC154oT0spg35A7K4Ag==,63830,-1,3,7458
3420,wKgcC154oT0spg35A7K4Ag==,63830,1,3,7458
3437,wKgcC12y4VghAi2wDXoUAg==,38389,1,3,2009
3438,wKgcC12y4VghAi2wDXoUAg==,12345,1,3,288
3455,wKgcC15AxQ8IkVMzA3vSAg==,65199,1,3,5024
3463,wKgcC15C2UQgfnyuCNcpAg==,65199,-1,4,5024
3472,wKgcC12y4VghAi2wDXoUAg==,64494,1,3,2906
3490,wKgcC1590CsKGVsPFN8UAg==,63830,1,3,7458
3521,wKgcC12aHCC91Tl3DVsxAg==,35787,1,4,27
3568,wKgcC14e+7ORrA8yCy2vAg==,61541,-1,3,211
3634,wKgcC12d/4yMSCKUBKJ3Ag==,34365,1,3,140
3650,wKgcC13ZDKoc4h6pDUh5Ag==,61405,-1,34,212
3660,wKgcC13YEMKlM3RMCNeIAg==,63381,1,3,160
3666,wKgcC15SdecJdS1UA7xQAg==,65199,1,3,5024
3673,wKgcC16A7ltDdU5EHK4aAg==,59022,-1,3,9961
3674,wKgcC16A7ltDdU5EHK4aAg==,59022,1,3,9961
3693,wKgcC11Q/Yl2wXjABSR6Ag==,63148,-1,3,632
3698,wKgcC187e6t1ei77Db4GAg==,59550,1,10,12
3706,wKgcC11QKR4yXS2GBTkqAg==,61122,-1,6,452
3720,wKgcC11QVKS79i1/A4FPAg==,64649,-1,3,51968
3722,wKgcC12sk8UEdmYkAzliAg==,63684,1,4,14
3741,wKgcC12+iBxndAvzBapcAg==,61164,-1,3,894
3771,wKgcC12jQAlahhCID6d7Ag==,62862,1,3,98
3774,wKgcC12jQAlahhCID6d7Ag==,62038,1,3,23
3778,wKgcC13hFI9B2jUeBnYEAg==,64758,1,13,311
3812,wKgcC13ZDKoc4h6pDUh5Ag==,61405,1,34,212
3820,wKgcC137vD9fUUxLJGedAg==,62265,1,3,48
3828,wKgcC13fRtoOXA0CBLfVAg==,58125,-1,4,38
3905,wKgcC13hFI9B2jUeBnYEAg==,64916,1,13,510
3958,wKgcC13I95atVWvLBJriAg==,65058,1,4,4675
3959,wKgcC13I95atVWvLBJriAg==,64898,1,4,9036
3969,wKgcC1+QdydJ0X/NDzDLAg==,63401,1,8,7096
3974,wKgcC1+QdydJ0X/NDzDLAg==,20305,1,8,457
3994,wKgcC1+QdydJ0X/NDzDLAg==,40705,1,8,228
4013,wKgcC1+QdydJ0X/NDzDLAg==,57568,1,8,212
4040,wKgcC13JePK802vNEmWGAg==,60735,1,3,11177
4054,wKgcC13P60aNKGq1B0WeAg==,57655,-1,4,178
4090,wKgcC13tA0hdVE7cCUymAg==,64420,1,7,582
4093,wKgcC12omKAc3kVLBfBXAg==,3969,1,4,192
4123,wKgcC13xTfNKlSXyCi6jAg==,44923,1,3,1839
4125,wKgcC14/CroW1Af4CLVfAg==,64849,1,4,2539
4135,wKgcC14oYAgb0gw8BIVmAg==,61541,1,3,211
4176,wKgcC15ozyYnvQYuC8eiAg==,65199,1,4,5024
4192,wKgcC14prbmXGAzlGXuaAg==,61319,-1,5,447
4203,wKgcC17SFy4WImCZBp+5Ag==,62238,-1,4,1469
4211,wKgcC14/CroW1Af4CLVfAg==,63256,1,4,8277
4225,wKgcC13ZDKoc4h6pDUh5Ag==,61164,-1,34,894
4226,wKgcC13tA0hdVE7cCUymAg==,64898,1,7,9036
4233,wKgcC15dVv5gsl3gF8UvAg==,63955,1,23,534
4234,wKgcC15dVv5gsl3gF8UvAg==,49304,-1,23,47
4235,wKgcC15dVv5gsl3gF8UvAg==,61772,1,23,45
4236,wKgcC15dVv5gsl3gF8UvAg==,61772,-1,23,45
4237,wKgcC15dVv5gsl3gF8UvAg==,59897,1,23,71
4238,wKgcC1412PBEtThRBIjKAg==,62828,1,3,287
4266,wKgcC13hFI9B2jUeBnYEAg==,59597,1,13,762
4267,wKgcC13hFI9B2jUeBnYEAg==,61928,1,13,20
4288,wKgcC11QKR4yXS2GBTkqAg==,62575,-1,6,196
4296,wKgcC11QVKS79i1/A4FPAg==,64649,1,3,51968
4306,wKgcC144gXKVDTtEETApAg==,63401,-1,4,7096
4307,wKgcC144gXKVDTtEETApAg==,63401,1,4,7096
4310,wKgcC13I95atVWvLBJriAg==,64992,-1,4,13745
4311,wKgcC13I95atVWvLBJriAg==,64992,1,4,13745
4317,wKgcC145ZrYVtlOSBOJ3Ag==,63217,-1,3,20878
4389,wKgcC148PB+H9EAwG7LhAg==,63972,1,6,2696
4408,wKgcC13yBTknL1L/B0T6Ag==,9677,-1,3,279
4419,wKgcC11iMCtT6X5aA2IfAg==,64649,1,3,51968
4420,wKgcC11iNYyT1X5iBvA8Ag==,63381,1,3,160
4426,wKgcC12MOEN2FgJLBGzMAg==,62122,1,4,1810
4429,wKgcC13rVSIF2yBsCRLdAg==,59944,1,5,3123
4435,wKgcC12wZBYXolaHC47ZAg==,64649,1,3,51968
4440,wKgcC13jjUZV2TPDC10WAg==,65058,1,12,4675
4462,wKgcC14F8CCkWRWyCVJvAg==,64849,1,6,2539
4466,wKgcC14F8CCkWRWyCVJvAg==,64849,-1,6,2539
4491,wKgcC14wHLyL6jHlBbktAg==,59464,1,4,47
4492,wKgcC14wHLyL6jHlBbktAg==,8543,1,4,92
4530,wKgcC1+YWPMfE2zzMnHZAg==,65165,-1,3,2173
4541,wKgcC14Il/AyxC9rDetPAg==,61319,1,3,447
4552,wKgcD14erZRxDiPUCRIXAg==,61404,1,9,614
4560,wKgcD157j9htLDXTLEN+Ag==,65497,1,3,47
4562,wKgcC14/ZSdHmQgNJYdSAg==,10869,1,8,459
4570,wKgcC14/ZSdHmQgNJYdSAg==,62064,1,8,211
4573,wKgcC14GfA0dLHwVEHb0Ag==,63120,1,9,324
4594,wKgcC13P60aNKGq1B0WeAg==,59761,-1,4,1407
4615,wKgcC11fWjNGU297A2AHAg==,62585,1,4,2653
4618,wKgcC13oJLBalkVoHUgLAg==,65058,1,3,4675
4665,wKgcC13+uLZHvHYREqlyAg==,64165,1,8,1781
4666,wKgcC17fNmOMjz++CmwLAg==,63136,-1,7,2052
4668,wKgcC17fNmOMjz++CmwLAg==,63136,1,7,2052
4704,wKgcC13Sis1gOkpDCS3nAg==,63480,1,4,639
4707,wKgcC14TCBc7Em4FB0qOAg==,64849,1,4,2539
4760,wKgcC12fV2CmVBq2A6J5Ag==,64025,1,3,3352
4764,wKgcC14ZnAiPyUyrDkGiAg==,64649,-1,3,51968
4765,wKgcC14bNU0yylkbC/1HAg==,64649,1,4,51968
4785,wKgcC14S3yFAkW4GBfckAg==,60533,1,6,736
4792,wKgcC11iMCtT6X5aA2IfAg==,22965,1,3,9304
4808,wKgcC14TCBc7Em4FB0qOAg==,63217,-1,4,20878
